August 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Allred,94.0,94.1,92.3,92.3,92.2,94.2,94.2,94.7,85.2,82.4,88.0,91.7,93.7,93.3,94.5,95.2,97.2,96.7,96.6,94.6,92.7,92.9,95.4,94.3,96.1,92.9,91.6,92.1,91.4,88.8,86.5
Beto,87.4,88.3,85.1,86.0,86.1,86.3,86.4,86.3,86.6,86.8,86.9,85.8,88.7,88.4,89.5,90.6,88.9,89.1,88.7,90.3,88.2,88.9,87.4,86.8,87.1,87.7,85.3,84.4,85.4,83.7,84.3
Boyd,90.1,92.1,91.1,91.4,91.1,91.6,93.1,93.2,94.2,93.9,98.1,91.8,91.9,92.3,92.9,92.4,92.7,94.2,93.8,96.4,92.8,92.6,91.1,90.2,90.8,90.7,89.4,87.2,87.4,88.0,86.3
Bradshaw,88.5,95.0,89.1,84.5,89.9,87.1,90.8,92.3,89.1,90.1,90.3,87.1,88.4,86.3,88.7,90.0,92.3,90.6,85.7,88.7,86.0,83.5,79.1,92.4,90.1,87.1,87.9,91.2,85.2,87.7,85.0
Briscoe,93.7,94.0,94.4,93.1,94.6,94.7,92.1,93.7,95.0,96.8,96.4,95.1,96.8,96.8,95.1,90.8,92.9,94.1,94.7,94.2,100.4,99.2,97.2,96.0,94.5,96.3,95.6,97.6,92.0,98.2,89.3
Byrd,86.8,88.0,89.0,89.7,83.6,85.8,86.9,92.1,85.9,90.6,90.3,88.4,82.7,85.8,83.5,84.6,85.2,85.4,93.7,86.3,89.7,91.4,91.9,88.9,85.8,85.3,77.9,85.2,79.1,82.4,80.3
Clemens,86.4,88.3,87.1,84.5,86.1,88.3,86.7,88.3,88.5,85.1,88.6,85.2,88.6,90.7,86.3,80.9,84.8,86.3,84.0,88.1,89.3,84.4,88.8,83.1,88.3,84.8,83.7,83.7,85.3,88.2,84.4
Clements,89.2,87.5,88.2,85.5,88.0,88.1,90.4,88.3,82.4,78.4,81.2,84.3,86.0,87.3,86.5,87.5,86.5,91.1,89.4,89.4,96.8,91.1,91.6,90.8,90.9,87.3,84.4,84.5,82.5,80.9,78.6
Coffield,87.8,88.8,88.7,89.7,88.0,89.6,89.5,89.9,90.4,89.7,88.8,88.3,89.0,90.4,90.0,90.5,90.4,90.7,90.9,91.6,89.8,89.6,90.5,88.6,88.8,88.3,88.0,86.0,84.6,83.2,84.7
Cole,96.2,91.4,94.5,91.2,94.2,93.7,96.6,95.2,89.3,90.6,88.7,91.4,95.1,94.6,93.5,97.1,94.3,97.2,94.7,95.8,91.4,91.8,95.1,94.4,94.1,94.4,95.6,93.5,91.4,87.8,89.4
Connally,88.3,91.8,97.7,91.4,90.8,90.1,93.7,92.3,91.0,91.3,90.1,91.6,91.5,91.3,91.6,90.9,90.4,91.2,91.4,92.1,93.3,94.5,91.5,91.4,91.2,84.7,82.7,88.0,85.6,89.0,88.2
Crain,93.7,97.0,93.4,96.5,94.3,94.9,95.3,97.0,95.2,92.5,94.5,92.5,94.4,93.1,96.4,95.1,95.5,96.4,97.8,98.9,96.9,98.8,96.3,98.7,98.8,92.7,92.2,92.2,90.8,90.0,92.0
Dalhart,89.7,88.2,87.9,85.4,85.1,86.7,88.7,84.2,79.3,73.6,85.4,88.9,89.5,87.4,84.9,88.1,88.4,90.2,85.1,89.4,86.5,85.9,88.3,88.8,87.9,86.5,85.7,85.4,85.1,82.9,80.7
Daniel,90.5,90.7,88.9,89.8,90.6,91.6,92.0,92.3,87.8,88.7,90.1,91.4,91.9,88.9,89.1,89.9,92.1,92.7,91.6,92.2,93.2,94.1,94.5,93.1,92.3,91.8,90.9,89.9,89.3,88.9,83.1
Dominguez,88.1,89.3,91.2,91.5,91.4,90.3,91.2,93.0,92.8,91.0,94.7,89.4,89.1,88.5,90.5,90.2,90.8,93.4,94.3,92.1,95.0,94.3,90.1,89.5,90.3,86.2,84.9,85.0,85.6,89.6,91.0
Ellis,92.4,90.1,87.3,90.7,88.3,89.7,94.3,91.3,92.3,90.5,91.0,91.4,90.3,90.6,91.1,87.3,87.4,93.1,85.1,93.7,88.7,93.3,90.5,85.8,87.3,85.5,85.0,86.7,80.3,86.0,85.7
Estelle,90.2,89.9,86.8,85.4,88.4,86.8,90.8,89.2,87.4,88.3,87.1,86.5,91.2,86.5,85.3,89.5,89.9,90.3,87.7,91.9,89.1,86.4,90.0,90.6,89.4,82.6,84.5,83.0,83.8,83.0,82.9
Ferguson,89.5,91.1,92.5,92.7,91.5,92.3,92.8,92.4,95.2,92.5,91.2,91.8,93.3,91.6,92.5,93.9,93.6,93.9,92.3,95.4,93.5,94.1,90.8,91.0,91.2,89.0,82.4,88.6,80.8,85.0,86.9
Formby,93.7,89.3,87.0,86.7,87.9,89.8,91.4,93.3,84.7,87.3,90.1,88.6,87.9,91.2,87.1,86.3,90.1,92.3,91.1,92.3,91.6,88.1,89.6,92.7,91.0,88.3,87.9,84.3,87.6,74.8,80.4
Garza East,95.8,96.9,95.1,95.4,95.3,94.1,96.1,93.1,95.4,96.1,94.5,96.7,96.1,95.7,94.5,95.7,95.6,96.3,96.1,95.5,97.1,97.7,91.7,95.1,95.2,82.2,83.7,85.6,91.0,92.4,91.6
Garza West,97.8,98.8,97.1,98.6,98.6,100.0,101.6,99.4,100.5,101.2,100.5,100.2,99.9,99.6,101.0,101.6,101.5,100.4,99.6,98.4,101.7,101.1,93.5,98.1,97.7,80.0,91.5,89.3,94.5,96.7,97.2
Gist,93.4,94.8,95.4,91.7,95.2,96.8,96.3,97.0,91.7,92.6,94.0,95.0,89.2,94.6,96.3,92.7,94.6,94.9,92.5,93.3,93.3,96.1,92.1,92.8,95.2,89.8,88.5,87.8,85.4,87.3,86.0
Goodman,89.5,91.0,95.3,84.0,90.4,89.7,88.7,86.7,89.9,85.5,86.0,88.8,88.9,93.0,89.7,93.3,90.3,92.5,84.4,90.9,88.6,85.7,90.4,89.0,87.8,86.4,94.6,89.0,84.6,77.9,75.7
Goree,86.5,83.9,88.0,83.4,93.8,93.6,94.4,92.1,96.7,87.6,88.9,92.1,96.5,98.0,95.4,91.9,95.8,93.5,92.9,96.0,98.9,88.3,90.5,90.0,86.9,85.8,86.2,83.7,78.6,81.0,81.6
Hightower,90.0,90.7,91.2,91.4,89.6,88.5,90.2,95.7,92.5,87.4,88.7,92.2,88.2,90.3,91.6,92.9,91.9,93.0,92.3,93.4,93.0,92.1,90.1,90.9,89.4,82.0,81.8,89.8,86.7,84.4,84.7
Hilltop,86.2,94.3,88.8,92.8,97.6,88.7,92.1,92.8,90.5,86.9,89.3,88.4,89.9,89.2,97.3,91.1,92.5,95.3,92.3,94.1,98.5,96.0,93.0,88.0,89.1,88.2,86.0,86.3,88.5,85.5,82.1
Hobby,87.7,89.3,89.6,91.0,89.8,90.5,90.6,91.2,92.6,90.1,90.3,91.8,90.9,90.7,91.4,91.8,92.4,92.4,92.9,93.3,95.3,95.4,93.8,91.0,91.4,89.3,86.8,94.6,87.2,85.7,88.8
Holliday,86.9,88.7,87.0,89.1,88.8,87.9,89.8,90.1,88.3,88.9,88.9,89.4,90.2,90.7,91.7,93.2,88.6,90.2,92.8,93.3,92.9,95.2,88.7,90.1,91.4,84.8,73.3,90.4,70.5,88.2,84.4
Hughes,84.6,92.2,89.4,86.5,89.9,89.9,92.8,93.2,88.3,86.1,89.4,92.2,91.1,89.2,92.2,94.1,92.8,92.2,94.3,89.2,89.3,92.5,93.5,90.6,92.0,90.0,84.6,85.4,88.0,82.0,89.0
Huntsville,92.1,90.5,90.6,92.2,90.5,92.1,93.0,92.4,92.7,92.2,90.8,91.6,91.5,93.1,89.3,88.0,94.2,93.4,89.8,90.8,93.0,92.3,93.1,88.9,88.3,85.5,80.4,87.2,84.8,85.8,83.0
Hutchins,92.9,93.9,88.6,92.5,91.4,92.9,95.3,95.4,84.9,92.0,92.7,91.6,94.9,94.7,94.9,94.3,95.1,96.5,96.9,94.3,94.3,93.8,95.1,92.4,93.7,91.9,91.5,90.5,88.3,87.7,89.3
Jester III,92.4,89.8,89.5,90.5,91.1,92.1,91.1,93.4,95.1,89.5,92.9,90.7,91.3,99.1,99.2,91.8,93.5,92.3,93.5,92.9,94.6,94.3,99.4,91.5,90.1,85.2,84.2,87.7,87.8,83.5,85.1
Jordan,90.4,87.1,84.3,84.9,84.5,86.4,87.6,87.2,77.3,78.1,81.7,89.9,86.2,86.4,87.5,88.5,86.9,90.4,86.2,86.9,87.3,88.9,86.6,88.9,88.8,89.1,83.5,83.4,85.9,81.7,79.5
Lewis,93.3,99.1,98.2,97.2,97.5,77.6,96.5,92.3,98.4,98.6,94.6,97.0,99.7,99.2,98.6,99.4,99.8,96.4,90.1,92.8,92.7,97.6,97.2,91.5,93.9,84.6,86.8,94.2,84.6,84.2,91.3
Lopez,91.1,95.2,91.3,93.5,95.2,90.7,92.6,92.4,94.9,91.2,89.1,92.8,93.4,95.3,94.4,92.8,89.0,93.8,91.8,91.2,91.8,92.8,90.3,91.1,92.2,90.9,90.9,91.6,92.1,90.1,92.5
Luther,86.5,87.5,88.9,89.8,88.7,88.2,88.0,89.3,88.3,87.2,87.2,87.3,89.2,87.1,88.2,88.0,90.9,89.3,89.7,88.5,89.5,90.3,88.3,86.5,85.8,83.8,80.7,88.6,81.5,81.8,83.1
