June 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Allred,83.1,87.5,87.0,77.6,79.7,83.8,84.8,86.3,86.1,82.5,82.9,83.3,84.0,86.7,82.1,85.3,90.2,88.5,88.5,89.2,88.2,88.7,89.0,89.3,89.2,89.0,87.5,87.3,88.7,89.5
Bartlett,77.9,77.9,84.1,83.0,87.1,87.5,89.0,89.8,86.1,82.7,82.2,79.2,85.1,85.3,81.5,87.5,88.2,82.5,88.7,89.6,85.5,91.4,87.8,86.6,88.2,85.0,84.6,88.5,84.9,87.6
Baten,80.5,83.8,75.8,76.6,75.1,78.4,79.8,79.6,77.4,78.3,76.1,79.5,85.5,81.4,77.1,78.1,87.8,81.5,86.5,87.6,86.4,85.1,81.6,80.0,82.6,81.7,80.6,85.4,84.3,77.1
Beto,80.5,88.3,88.6,92.4,90.8,86.4,85.8,87.0,87.5,78.8,76.9,76.3,86.0,81.4,83.7,80.0,85.1,82.2,86.1,86.6,87.0,87.0,86.2,85.5,79.6,83.4,84.2,85.0,85.7,85.9
Boyd,82.3,85.7,86.7,83.7,87.5,87.8,89.9,89.8,85.7,80.3,80.2,78.1,84.4,87.8,82.8,85.3,85.9,90.4,90.2,90.4,88.1,88.5,90.6,89.7,84.9,87.5,86.1,89.7,89.9,89.2
Bradshaw,79.1,91.7,86.0,81.7,89.8,89.0,86.3,87.3,86.4,73.1,77.3,78.8,90.2,87.1,88.6,85.4,88.1,85.6,87.5,87.0,91.4,92.0,87.5,83.3,86.7,87.0,85.1,86.6,91.4,86.7
Briscoe,91.2,91.8,87.7,92.3,93.8,92.3,93.8,92.7,92.4,91.3,86.5,85.9,89.8,94.3,93.9,89.0,92.0,92.6,97.7,97.5,90.6,92.3,92.1,88.6,92.7,91.6,92.4,92.1,92.1,83.9
Byrd,83.4,84.5,86.5,85.9,85.2,86.1,87.2,90.2,85.7,79.5,78.0,75.9,85.3,82.8,79.1,82.9,86.6,87.5,88.7,87.9,88.9,83.4,89.2,85.8,81.5,83.4,87.6,87.9,82.4,88.2
Clemens,85.1,84.3,85.2,82.7,82.2,83.6,85.4,85.9,84.5,82.8,76.8,72.4,83.4,78.1,83.1,80.7,80.8,82.2,85.3,85.2,84.4,85.7,85.9,84.9,81.4,86.3,84.2,84.4,83.6,81.7
Clements,79.6,80.2,78.8,78.1,78.6,79.3,78.8,80.2,80.0,80.0,81.7,81.6,82.5,82.7,85.4,85.7,84.9,85.6,84.1,85.6,86.5,86.7,87.1,84.5,84.8,83.3,82.0,83.0,83.4,84.3
Coffield,79.3,85.2,85.6,85.7,84.3,87.5,88.8,89.5,85.8,80.9,78.4,77.5,81.8,84.2,86.6,83.7,87.1,88.5,89.4,89.1,88.5,89.0,88.5,88.5,84.0,86.4,86.9,87.1,88.3,88.1
Cole,84.2,90.2,85.4,79.6,83.0,88.7,90.1,90.5,87.9,85.7,73.4,77.8,89.2,90.0,81.8,86.3,90.4,87.5,92.8,92.4,91.2,89.9,92.4,92.9,88.5,92.2,89.0,93.1,94.9,96.1
Connally,87.5,88.0,88.3,88.5,88.9,88.5,88.9,89.4,89.9,89.1,84.5,80.2,85.5,88.1,85.8,85.3,87.5,87.7,88.4,88.2,88.7,88.5,88.6,85.6,85.5,86.5,87.4,89.0,86.5,84.2
Crain,90.4,87.5,86.3,80.6,88.6,91.5,89.8,92.8,84.5,81.4,80.1,84.1,88.8,89.2,78.6,87.2,87.6,89.2,89.5,89.8,88.2,89.4,92.3,92.3,86.8,88.1,90.2,90.3,89.2,92.0
Dalhart,87.1,81.0,72.1,73.2,75.3,78.5,79.5,81.7,80.4,79.4,79.2,81.7,83.8,85.4,85.1,86.1,84.4,83.7,84.2,86.4,87.0,85.5,85.6,79.5,78.7,82.9,82.5,84.2,84.4,84.0
Daniel,80.5,82.4,81.9,78.8,80.7,85.2,85.5,85.7,82.6,78.9,75.6,80.6,83.4,84.2,84.3,85.4,85.3,86.1,85.9,86.7,86.9,86.7,85.1,85.5,85.9,87.1,87.5,87.0,87.8,88.3
Dominguez,88.4,89.0,88.6,87.3,90.3,85.8,90.1,91.9,87.2,88.5,84.5,78.5,84.6,86.7,88.4,88.3,88.5,92.0,91.2,91.5,84.9,86.8,90.1,89.0,90.9,89.8,88.5,90.1,90.3,85.0
Ellis,77.4,84.0,83.7,80.7,85.6,82.7,86.8,85.3,85.5,80.5,78.3,75.3,75.6,84.1,84.8,86.7,88.1,88.6,87.2,89.1,89.5,85.4,85.2,85.5,84.2,84.6,84.6,88.2,82.6,88.2
Estelle,80.4,82.0,85.8,82.2,84.4,86.7,88.4,88.3,85.7,83.5,78.9,77.8,82.0,82.1,84.3,85.5,85.4,88.0,85.8,87.3,87.3,85.0,87.3,85.3,83.2,83.7,83.1,86.1,86.9,86.8
Ferguson,83.3,85.5,88.1,88.0,87.1,88.2,89.4,90.2,87.5,85.2,85.4,82.7,87.3,86.1,82.3,86.6,89.2,89.1,89.1,88.7,88.9,82.4,89.0,89.1,86.2,78.1,87.2,89.7,88.4,88.8
Formby,86.8,87.1,80.9,80.4,74.4,83.7,79.8,85.5,81.6,80.0,82.6,86.1,89.4,89.0,83.5,90.1,92.2,85.6,88.3,90.5,90.1,89.9,83.2,87.2,86.7,85.2,86.1,88.1,89.1,83.4
Garza East,92.6,92.9,92.3,88.3,97.8,94.0,93.4,95.2,91.9,92.4,89.1,81.6,89.0,91.1,87.8,88.3,92.3,88.3,93.8,93.0,92.8,93.3,93.3,90.9,89.8,87.9,94.0,93.0,87.3,81.9
Garza West,95.0,94.4,93.0,91.1,95.7,94.9,94.6,94.6,95.8,93.2,89.3,75.7,91.8,92.7,90.6,88.4,90.7,92.6,93.8,94.0,93.7,94.4,94.2,90.5,89.0,88.3,93.7,94.2,86.7,79.7
Gist,87.5,89.8,87.7,88.3,91.1,90.4,90.3,89.8,90.8,84.6,81.3,75.7,77.1,88.3,89.1,79.4,88.8,90.8,89.4,92.4,92.6,89.6,91.2,93.0,87.2,90.3,92.7,92.1,86.7,93.3
Goodman,83.0,86.7,84.3,84.2,85.5,86.3,87.6,86.3,85.8,81.7,77.4,81.5,76.5,84.2,81.4,79.4,83.4,85.9,85.4,87.2,82.2,87.3,83.5,87.5,86.0,85.7,87.0,86.7,80.1,88.4
Goree,84.3,85.5,86.2,87.2,85.1,85.5,88.7,88.4,85.7,84.4,81.5,77.3,82.3,83.5,80.8,85.4,87.8,87.7,85.3,89.0,82.9,81.2,87.2,85.5,84.3,85.3,85.6,87.7,82.6,86.4
Gurney,80.7,84.6,85.2,84.6,86.4,88.2,88.2,89.2,84.5,82.6,84.2,83.1,85.4,88.3,86.9,86.7,89.5,86.9,90.5,91.4,91.5,92.0,93.4,90.1,86.6,89.6,90.7,90.8,90.2,91.1
Hightower,83.7,87.5,86.3,86.7,87.6,87.1,89.0,87.7,87.2,85.6,81.8,79.4,79.2,85.0,83.3,84.8,86.1,88.3,88.5,88.9,88.2,88.3,89.5,84.0,85.2,84.0,85.2,84.8,85.6,84.9
Hilltop,84.1,88.9,85.0,81.2,85.0,85.3,86.6,89.1,86.2,80.6,80.8,80.5,83.2,82.9,79.4,82.0,84.2,82.3,88.2,87.4,87.3,82.6,88.1,86.7,85.9,90.7,87.8,88.1,86.3,86.8
Hobby,87.5,89.3,87.8,85.8,89.7,90.3,91.4,91.6,88.3,81.5,84.0,80.2,85.0,85.5,85.2,90.2,88.5,90.2,82.3,91.6,89.5,89.9,90.4,90.3,87.9,87.6,89.1,89.8,90.9,89.0
