May 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Allred,75.9,77.7,76.9,74.7,79.3,83.3,86.7,80.1,82.8,81.2,78.9,86.5,79.2,79.5,79.6,77.9,81.4,81.6,82.6,76.8,78.6,79.1,81.2,80.8,80.2,79.3,79.4,70.3,80.2,82.5,83.7
Beto,73.4,75.7,77.8,76.3,79.7,75.1,80.0,80.1,80.1,76.3,79.6,81.6,81.8,74.8,78.1,76.3,76.8,79.4,83.0,76.9,75.2,78.1,75.5,77.1,77.7,80.1,79.9,81.2,80.9,80.4,78.5
Boyd,80.3,79.3,81.4,80.0,83.5,85.4,83.8,84.9,82.4,76.0,83.1,85.7,82.0,76.2,80.2,80.2,79.6,85.4,89.2,81.4,79.9,81.7,82.2,82.6,82.2,84.3,83.3,85.0,85.1,84.1,83.9
Bradshaw,80.5,83.3,82.5,82.6,83.3,90.2,79.5,85.6,83.7,77.0,84.2,89.5,83.0,76.2,86.0,80.0,82.0,84.2,88.6,79.6,77.2,84.0,80.5,81.5,83.3,85.7,84.1,83.6,78.7,87.7,85.4
Briscoe,85.4,80.2,83.5,83.0,89.9,88.7,83.1,83.6,79.7,82.0,85.5,89.9,78.4,83.7,84.1,86.0,84.4,83.7,85.5,79.3,81.5,81.8,83.8,85.5,85.9,85.2,85.6,81.6,83.9,81.5,83.6
Byrd,76.7,75.6,76.7,74.0,80.3,82.0,80.1,75.7,71.0,70.9,76.2,77.8,79.2,77.4,78.7,78.2,80.2,77.3,80.5,75.0,76.2,75.5,72.8,74.3,76.5,77.9,83.1,81.6,78.4,80.2,82.6
Clemens,76.3,76.0,74.5,74.8,76.7,80.7,77.4,70.2,77.5,73.9,80.2,77.8,74.8,81.0,80.6,78.4,81.0,81.5,85.6,80.9,77.3,81.2,83.1,79.7,77.3,80.9,77.4,81.4,80.3,74.9,79.9
Clements,67.8,77.0,67.8,76.9,75.1,75.2,74.9,75.0,77.0,77.1,76.1,75.3,69.0,70.0,76.1,70.1,72.6,73.1,71.2,77.0,76.7,77.2,71.0,75.9,72.1,72.1,72.3,73.0,76.2,74.7,74.7
Coffield,76.0,79.2,80.2,77.2,81.2,91.0,84.1,86.5,81.2,74.3,80.5,82.0,85.5,74.6,76.8,80.3,76.9,80.4,85.3,77.4,77.9,78.6,77.7,81.6,81.0,87.9,84.2,82.9,83.0,86.9,81.2
Cole,79.0,79.2,76.4,80.0,93.1,85.9,87.3,91.8,93.6,80.0,87.8,89.1,85.1,70.9,87.5,77.1,79.3,82.7,81.3,77.9,79.8,79.6,77.1,82.7,79.0,78.9,78.9,81.2,87.3,83.0,83.5
Connally,79.9,78.5,83.4,85.7,90.7,91.9,80.2,90.6,79.4,79.0,82.0,83.7,77.8,83.8,77.7,84.7,83.6,86.5,90.1,80.0,82.8,81.2,84.1,89.4,89.5,88.7,84.6,83.0,86.2,82.7,84.2
Crain,77.0,79.3,79.7,84.5,88.8,84.9,84.6,84.0,80.6,77.2,85.9,84.5,77.9,79.6,84.7,82.4,86.3,85.4,87.6,79.6,77.8,80.6,86.6,84.2,83.3,85.6,84.2,84.8,86.0,89.8,86.1
Dalhart,77.5,78.4,79.2,79.4,79.4,79.6,80.6,79.8,83.0,80.2,78.8,78.6,73.8,71.8,72.0,79.9,82.3,81.9,78.6,78.8,79.2,80.5,77.8,80.2,77.7,79.4,79.3,78.5,77.1,78.9,77.3
Daniel,79.8,78.4,78.9,80.4,84.0,83.2,82.6,80.7,84.3,84.8,87.7,84.8,80.5,72.4,74.6,79.2,80.2,78.6,82.2,77.6,76.2,77.5,88.1,79.4,78.9,76.3,73.4,75.7,76.1,78.7,80.2
Dominguez,84.5,79.9,84.0,84.0,91.4,83.3,81.4,88.5,74.7,80.7,86.5,86.6,79.8,84.7,82.5,82.8,84.5,88.4,87.7,78.6,73.1,82.1,88.5,87.5,83.2,85.3,85.8,83.7,86.6,84.3,86.5
Ellis,78.3,76.6,79.6,79.7,83.8,89.7,80.3,88.7,80.4,79.4,80.0,90.7,82.4,83.4,88.9,90.9,80.5,89.3,89.4,87.0,83.3,85.0,82.6,77.9,80.2,85.7,86.2,86.3,89.1,88.7,93.4
Estelle,76.0,76.6,78.0,79.7,83.4,84.5,81.4,83.5,79.7,78.2,80.3,81.4,82.2,77.6,82.0,80.3,78.7,78.6,85.6,83.8,80.5,79.5,76.8,77.1,78.6,83.7,82.3,80.5,81.1,81.2,81.9
Ferguson,75.8,80.0,82.1,82.8,85.7,85.0,83.8,84.0,78.9,78.3,82.1,84.4,84.0,77.1,77.8,80.7,83.0,81.2,83.2,83.0,81.3,81.2,81.4,84.5,82.0,85.6,86.4,88.1,87.8,85.2,85.0
