April 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Allred,79.9,76.9,75.9,79.3,78.2,81.3,76.5,78.1,78.3,77.4,77.9,79.1,80.5,82.1,85.4,80.8,86.1,79.9,78.0,70.4,73.1,76.8,80.1,80.6,83.4,80.5,84.1,82.5,81.3,85.1
Beto,78.6,74.6,72.5,73.6,78.5,76.7,76.8,76.1,70.5,69.1,72.2,74.0,74.5,73.8,76.7,76.5,77.8,78.6,76.1,67.7,70.1,69.9,73.9,75.7,77.0,75.5,80.5,75.2,73.3,76.1
Boyd,80.4,75.0,74.3,77.4,80.8,81.2,79.2,81.5,74.2,72.6,73.3,78.2,77.3,78.0,80.7,77.0,81.8,84.6,76.2,73.8,72.8,74.9,77.8,79.2,79.1,79.8,82.0,74.5,77.8,82.5
Bradshaw,80.2,74.5,75.1,76.1,80.3,82.7,80.6,78.1,69.9,69.8,76.8,80.2,80.2,78.5,81.0,81.2,79.7,79.6,79.3,73.0,78.2,75.2,81.2,81.8,78.5,80.1,77.9,76.7,78.1,82.2
Briscoe,77.8,82.8,76.8,78.2,81.7,82.7,79.8,78.9,89.5,78.4,83.9,81.6,86.1,84.8,87.3,81.8,84.9,85.8,81.6,82.5,76.3,77.3,77.9,83.4,82.4,85.5,77.8,80.1,86.6,92.5
Byrd,76.5,72.3,74.4,73.2,74.2,77.4,76.5,75.7,75.2,73.4,74.6,74.1,74.9,75.2,77.8,79.9,78.2,79.2,76.5,72.2,70.1,72.3,73.5,74.8,76.1,79.2,79.9,80.7,78.5,78.3
Clemens,78.8,79.2,77.0,74.1,75.5,78.4,77.9,79.4,80.2,77.9,76.1,77.4,75.5,81.7,77.6,78.7,79.4,79.8,86.0,81.3,70.2,76.9,75.3,80.6,78.2,77.2,81.7,78.3,79.5,85.1
Clements,66.0,62.5,63.6,65.2,67.4,65.9,64.5,64.4,62.0,60.2,61.7,63.1,67.0,70.0,70.6,69.4,71.6,69.0,67.4,67.0,65.0,64.8,66.8,67.3,68.0,69.2,69.8,67.0,69.1,70.6
Coffield,87.8,77.3,76.9,77.9,79.0,80.6,78.9,83.9,76.7,75.2,76.6,77.1,77.6,79.7,84.5,79.4,86.3,84.1,74.9,76.8,76.5,77.3,77.5,81.7,81.4,82.6,84.3,83.2,81.8,82.4
Cole,81.7,78.1,77.7,78.2,78.4,78.2,80.5,79.7,75.1,72.6,77.5,78.1,78.9,82.1,73.4,85.9,89.3,87.9,78.3,68.5,72.8,75.3,78.4,80.7,83.1,74.1,84.1,77.4,79.8,82.5
Connally,86.7,76.5,75.0,78.5,78.1,75.8,80.2,81.2,82.6,77.1,78.8,79.0,78.2,79.7,84.6,82.8,85.3,89.0,89.4,87.2,75.1,77.0,75.1,79.9,83.1,85.3,87.2,85.9,90.9,89.7
Crain,80.1,71.5,78.1,80.1,84.7,74.2,79.4,81.9,72.6,70.7,75.7,77.1,81.7,84.7,81.0,80.2,80.0,84.7,75.8,70.5,70.5,78.0,78.2,76.8,78.8,78.6,81.4,81.8,87.5,82.5
Dalhart,76.7,76.9,76.6,76.4,76.1,75.3,76.7,76.8,76.3,76.8,76.7,76.8,78.3,79.2,77.8,77.8,78.8,77.5,77.2,76.8,76.2,76.9,78.4,77.7,77.9,77.6,75.6,77.1,77.5,78.0
Daniel,71.6,77.1,74.6,76.1,73.2,76.0,70.1,77.1,75.2,67.5,76.7,77.2,77.0,76.8,75.0,75.2,74.6,76.8,78.2,68.4,74.8,78.6,76.9,73.7,72.2,74.2,75.9,76.4,76.4,77.2
Dominguez,81.8,80.9,77.2,79.4,80.4,77.8,80.7,80.0,87.3,77.5,79.4,80.5,83.6,83.3,83.4,81.2,85.5,84.0,81.7,80.1,73.3,77.5,77.0,79.3,81.1,82.1,81.2,82.1,87.7,83.0
Ellis,79.7,77.7,75.3,76.3,78.3,79.7,79.8,74.1,78.9,76.3,75.5,78.5,78.4,79.9,80.4,81.4,84.0,82.0,80.0,80.5,73.1,77.3,76.5,77.1,80.7,79.9,81.1,83.5,83.0,84.1
Estelle,81.4,79.6,74.6,76.5,77.2,77.4,77.7,78.4,76.4,71.0,77.2,77.4,77.5,77.1,78.7,79.2,83.6,80.5,78.6,76.0,70.0,76.9,73.2,83.3,83.8,77.6,86.9,82.0,81.8,83.5
Ferguson,79.5,77.1,75.4,78.9,81.3,81.1,78.8,79.8,77.7,72.3,76.5,77.9,78.7,86.1,88.9,81.7,80.5,84.2,86.1,79.2,74.1,74.4,75.7,80.7,80.6,80.2,82.9,82.9,81.1,83.8
Formby,77.3,73.3,77.2,79.3,78.9,76.0,73.3,73.9,66.9,73.3,74.9,78.9,81.5,81.9,82.6,82.1,82.4,71.6,71.6,67.5,74.7,76.7,80.4,74.8,79.6,80.6,78.7,77.2,80.5,81.4
Garza East,84.4,85.4,81.7,87.1,87.1,79.5,84.1,80.1,88.7,77.6,84.4,85.2,84.1,83.8,85.7,85.6,87.4,91.1,87.4,88.6,76.8,78.4,76.9,80.7,82.8,88.1,82.3,86.6,92.1,90.1
Garza West,83.7,88.0,83.0,88.4,84.2,81.8,86.4,84.5,88.3,79.7,85.2,84.7,85.6,86.6,83.3,91.9,96.3,94.6,91.2,90.4,80.5,79.7,80.5,85.2,86.0,89.5,88.3,88.4,96.7,93.9
